lambda,Cost ($),Time taken (days),,,,,,,,,,,,,,
0,"1,651,573","4,818",,,,,,,,,,,,Model,Cost ($),Time taken (days)
0.1,"1,651,631","1,363",,,,,,,,,,,,Baseline ,"10,279,967","1,960.50"
0.2,"1,651,589","1,265",,,,,,,,,,,,Cost optimizing,"1,651,573","4,818"
0.3,"1,651,595","1,259",,,,,,,,,,,,Cost + time optimizing,"1,651,590","1,253"
0.4,"1,651,590","1,253",,,,,,,,,,,,,,
0.5,"1,651,592","1,253",,,,,,,,,,,,,,
0.6,"1,651,598","1,257",,,,,,,,,,,,,,
0.7,"1,651,587","1,253",,,,,,,,,,,,,,
0.8,"1,651,588","1,253",,,,,,,,,,,,,,
0.9,"1,651,660","1,253",,,,,,,,,,,,,,
1,"1,651,601","1,253",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,"1,651,573",4818,,,,,,,,,,,,,,
0.1,"1,651,581",1356,,,,,,,,,,,,,,
0.2,"1,651,591",1260,,,,,,,,,,,,,,
0.3,"1,651,582",1253,,,,,,,,,,,,,,
0.4,"1,651,585",1253,,,,,,,,,,,,,,
0.5,"1,651,601",1253,,,,,,,,,,,,,,
0.6,"1,651,636",1256,,,,,,,,,,,,,,
0.7,"1,651,599",1253,,,,,,,,,,,,,,
0.8,"1,651,603",1252,,,,,,,,,,,,,,
0.9,"1,651,585",1252,,,,,,,,,,,,,,
1,"11,462,246",292,,,,,,,,,,,,,,